year,total_death,Jews_and_others_total_death,Arabs_total_death
2001,97,85,12
2001,97,87,10
2001,85,78,7
2001,96,79,17
2001,106,97,9
2001,106,96,10
2001,99,89,10
2001,104,93,11
2001,82,72,10
2001,92,86,6
2001,104,97,7
2001,95,88,7
2001,98,89,9
2001,104,96,8
2001,85,74,11
2001,99,86,13
2001,103,98,5
2001,94,86,8
2001,114,106,8
2001,96,86,10
2001,67,57,10
2001,100,92,8
2001,101,92,9
2001,107,99,8
2001,106,99,7
2001,88,87,1
2001,91,78,13
2001,104,94,10
2001,115,99,16
2001,104,91,13
2001,86,79,7
2001,81,71,10
2001,90,78,12
2001,91,81,10
2001,105,95,10
2001,86,71,15
2001,94,90,4
2001,118,105,13
2001,80,72,8
2001,80,71,9
2001,91,79,12
2001,91,87,4
2001,78,72,6
2001,102,95,7
2001,103,96,7
2001,94,87,7
2001,88,81,7
2001,118,110,8
2001,107,96,11
2001,101,93,8
2001,72,65,7
2001,96,90,6
2001,102,94,8
2001,90,82,8
2001,82,75,7
2001,82,70,12
2001,88,81,7
2001,103,98,5
2001,113,97,16
2001,111,102,9
2001,111,104,7
2001,107,92,15
2001,108,96,12
2001,78,69,9
2001,99,92,7
2001,85,78,7
2001,121,112,9
2001,105,94,11
2001,102,95,7
2001,106,92,14
2001,83,78,5
2001,93,84,9
2001,93,87,6
2001,117,107,10
2001,94,86,8
2001,96,87,9
2001,101,92,9
2001,87,79,8
2001,87,81,6
2001,98,89,9
2001,104,90,14
2001,102,90,12
2001,95,88,7
2001,99,85,14
2001,112,101,11
2001,106,95,11
2001,102,92,10
2001,103,91,12
2001,109,99,10
2001,114,101,13
2001,92,81,11
2001,96,89,7
2001,123,116,7
2001,97,90,7
2001,100,94,6
2001,105,97,8
2001,120,104,16
2001,90,76,14
2001,86,77,9
2001,103,89,14
2001,107,98,9
2001,96,85,11
2001,90,83,7
2001,107,98,9
2001,98,85,13
2001,101,94,7
2001,87,80,7
2001,123,111,12
2001,87,81,6
2001,110,99,11
2001,111,102,9
2001,117,102,15
2001,102,96,6
2001,117,103,14
2001,112,98,14
2001,89,81,8
2001,108,97,11
2001,112,105,7
2001,111,104,7
2001,112,99,13
2001,132,114,18
2001,89,85,4
2001,119,110,9
2001,113,106,7
2001,104,86,18
2001,111,104,7
2001,91,82,9
